"","Track","Channel","Start hRf","End hRf","hRf","Height","Area","Start","End","Max"
"122",2,3,67,70,68,0.0108863565804387,0.164540911123024,565,549,560
"123",2,3,63,67,65,0.0121202929669463,0.193471971270201,584,565,574
"124",2,3,46,57,51,0.489910411444674,10.8541385290727,672,617,643
"125",2,3,30,44,35,0.0599898895794373,1.34699577431803,752,680,728
"126",2,3,10,19,16,0.389486139589597,5.55943663917732,858,811,829
"127",2,3,4,8,6,0.142055713781734,1.26205560125364,890,867,879
"128",2,3,1,4,2,0.0377783449414846,0.256050468298449,906,890,901
"131",3,3,68,70,69,0.0135054769778473,0.17108882775179,560,548,553
"132",3,3,57,67,65,0.0134827474142705,0.0512686629126478,613,564,573
"133",3,3,46,57,51,0.591423222455744,13.7004692291479,672,616,644
"134",3,3,29,45,35,0.0865536561836827,1.975973797154,760,678,729
"135",3,3,11,19,15,0.483743518342948,7.16458981217102,853,810,830
"136",3,3,4,8,6,0.203134538038331,1.85329718201399,890,868,879
"140",4,3,66,70,68,0.0187408703698781,0.371527145336686,568,548,559
"141",4,3,57,66,65,0.0170262191239309,-0.0623854487858641,616,568,573
"142",4,3,45,57,51,0.650613622798132,15.468634424442,676,616,644
